Date,Open,High,Low,Close,Adj Close,Volume
2020-10-21,0.003217,0.003560,0.003213,0.003462,0.003462,0
2020-10-22,0.003462,0.003554,0.003434,0.003501,0.003501,0
2020-10-23,0.003501,0.003514,0.003443,0.003491,0.003491,0
2020-10-24,0.003492,0.003549,0.003479,0.003540,0.003540,0
2020-10-25,0.003539,0.003599,0.003486,0.003517,0.003517,0
2020-10-26,0.003518,0.003571,0.003462,0.003530,0.003530,0
2020-10-27,0.003530,0.003578,0.003429,0.003546,0.003546,3
2020-10-28,0.003550,0.003598,0.003362,0.003451,0.003451,0
2020-10-29,0.003451,0.003539,0.003375,0.003497,0.003497,0
2020-10-30,0.003494,0.003549,0.003415,0.003528,0.003528,0
2020-10-31,0.003522,0.003647,0.003499,0.003583,0.003583,0
2020-11-01,0.003583,0.003604,0.003139,0.003154,0.003154,27
2020-11-02,0.003160,0.003669,0.003046,0.003661,0.003661,194
2020-11-03,0.003658,0.003718,0.003006,0.003061,0.003061,202
2020-11-04,0.003069,0.003269,0.002988,0.003251,0.003251,33
2020-11-05,0.003251,0.003612,0.003243,0.003583,0.003583,98
2020-11-06,0.003583,0.003658,0.003502,0.003577,0.003577,0
2020-11-07,0.003580,0.003620,0.003317,0.003415,0.003415,0
2020-11-08,0.003412,0.003597,0.003391,0.003562,0.003562,0
2020-11-09,0.003560,0.003631,0.003419,0.003527,0.003527,0
2020-11-10,0.003526,0.003554,0.001664,0.001682,0.001682,253
2020-11-11,0.001682,0.003342,0.001682,0.003296,0.003296,49
2020-11-12,0.003298,0.005454,0.003262,0.005210,0.005210,527
2020-11-13,0.005208,0.005268,0.005021,0.005220,0.005220,1059
2020-11-14,0.005222,0.005222,0.005040,0.005144,0.005144,0
2020-11-15,0.005142,0.005159,0.005054,0.005108,0.005108,0
2020-11-16,0.005106,0.005252,0.003331,0.003846,0.003846,68
2020-11-17,0.003838,0.003855,0.002825,0.003180,0.003180,777
2020-11-18,0.003176,0.004009,0.003149,0.003919,0.003919,8
2020-11-19,0.003917,0.004152,0.003824,0.004093,0.004093,267
2020-11-20,0.004098,0.006395,0.004086,0.005587,0.005587,6146
2020-11-21,0.005587,0.005971,0.005533,0.005778,0.005778,1630
2020-11-22,0.005779,0.005794,0.005478,0.005518,0.005518,336
2020-11-23,0.005511,0.005613,0.005400,0.005506,0.005506,0
2020-11-24,0.005510,0.005804,0.005408,0.005542,0.005542,1642
2020-11-25,0.005541,0.005623,0.005203,0.005433,0.005433,469
2020-11-26,0.005432,0.005471,0.004429,0.004623,0.004623,2
2020-11-27,0.004629,0.004710,0.004462,0.004619,0.004619,8
2020-11-28,0.004619,0.004655,0.004105,0.004429,0.004429,53
2020-11-29,0.004429,0.004571,0.004390,0.004545,0.004545,0
2020-11-30,0.004544,0.004937,0.004544,0.004711,0.004711,0
2020-12-01,0.004710,0.004719,0.004037,0.004137,0.004137,36
2020-12-02,0.004137,0.004248,0.004037,0.004225,0.004225,0
2020-12-03,0.004225,0.004305,0.003887,0.003889,0.003889,22
2020-12-04,0.003890,0.004957,0.003835,0.004690,0.004690,87
2020-12-05,0.004675,0.004790,0.004648,0.004786,0.004786,0
2020-12-06,0.004788,0.004832,0.003591,0.003674,0.003674,112
2020-12-07,0.003674,0.003688,0.003597,0.003647,0.003647,151
2020-12-08,0.003647,0.003664,0.003471,0.003482,0.003482,70
2020-12-09,0.003481,0.003539,0.003408,0.003525,0.003525,0
2020-12-10,0.003525,0.004066,0.003490,0.004018,0.004018,21
2020-12-11,0.004018,0.004019,0.003583,0.003611,0.003611,1
2020-12-12,0.003612,0.003784,0.003609,0.003761,0.003761,0
2020-12-13,0.003761,0.003876,0.003747,0.003828,0.003828,0
2020-12-14,0.003828,0.003861,0.003803,0.003849,0.003849,0
2020-12-15,0.003849,0.003901,0.003485,0.003496,0.003496,78
2020-12-16,0.003495,0.003863,0.003474,0.003835,0.003835,0
2020-12-17,0.003836,0.004256,0.003822,0.004107,0.004107,458
2020-12-18,0.004105,0.004183,0.004032,0.004162,0.004162,0
2020-12-19,0.004164,0.004335,0.004109,0.004295,0.004295,0
2020-12-20,0.004297,0.004358,0.004167,0.004234,0.004234,218
2020-12-21,0.004225,0.004331,0.003989,0.004117,0.004117,0
2020-12-22,0.004105,0.004282,0.004038,0.004281,0.004281,0
2020-12-23,0.004280,0.004324,0.004109,0.004188,0.004188,0
2020-12-24,0.004184,0.004278,0.004100,0.004277,0.004277,0
2020-12-25,0.004272,0.004448,0.004223,0.004441,0.004441,0
2020-12-26,0.004440,0.004809,0.004414,0.004758,0.004758,0
2020-12-27,0.004760,0.005092,0.003370,0.003421,0.003421,435
2020-12-28,0.003416,0.003829,0.001086,0.003792,0.003792,2358
2020-12-29,0.003758,0.005082,0.000802,0.001082,0.001082,172
