Date,Open,High,Low,Close,Adj Close,Volume
2020-09-07,0.004338,0.004351,0.004082,0.004269,0.004269,145318
2020-09-08,0.004269,0.004348,0.004128,0.004243,0.004243,154864
2020-09-09,0.004242,0.004372,0.004185,0.004305,0.004305,187852
2020-09-10,0.004305,0.004560,0.004293,0.004560,0.004560,242956
2020-09-11,0.004560,0.004805,0.004459,0.004583,0.004583,1021596
2020-09-12,0.004583,0.004923,0.004520,0.004748,0.004748,777845
2020-09-13,0.004748,0.004798,0.004505,0.004592,0.004592,204711
2020-09-14,0.004592,0.004690,0.004523,0.004663,0.004663,123263
2020-09-15,0.004663,0.004665,0.004532,0.004591,0.004591,114671
2020-09-16,0.004591,0.004735,0.004428,0.004544,0.004544,302294
2020-09-17,0.004544,0.004617,0.004422,0.004521,0.004521,107945
2020-09-18,0.004521,0.004968,0.004418,0.004592,0.004592,2548294
2020-09-19,0.004609,0.004695,0.004489,0.004532,0.004532,178920
2020-09-20,0.004532,0.004565,0.004429,0.004464,0.004464,141695
2020-09-21,0.004464,0.004543,0.004196,0.004316,0.004316,275007
2020-09-22,0.004316,0.004474,0.004206,0.004347,0.004347,295364
2020-09-23,0.004347,0.004489,0.004177,0.004203,0.004203,163924
2020-09-24,0.004203,0.004386,0.004173,0.004378,0.004378,156448
2020-09-25,0.004378,0.005274,0.004361,0.004538,0.004538,5565392
2020-09-26,0.004538,0.004572,0.004411,0.004538,0.004538,399181
2020-09-27,0.004538,0.004547,0.004411,0.004487,0.004487,151290
2020-09-28,0.004487,0.004558,0.004439,0.004522,0.004522,186015
2020-09-29,0.004521,0.004629,0.004476,0.004568,0.004568,184875
2020-09-30,0.004568,0.004646,0.004483,0.004584,0.004584,255982
2020-10-01,0.004584,0.004689,0.004485,0.004573,0.004573,225413
2020-10-02,0.004573,0.004582,0.004288,0.004415,0.004415,314072
2020-10-03,0.004415,0.004492,0.004373,0.004449,0.004449,63920
2020-10-04,0.004449,0.004464,0.004370,0.004464,0.004464,80929
2020-10-05,0.004464,0.004675,0.004443,0.004667,0.004667,355578
2020-10-06,0.004658,0.004774,0.004540,0.004592,0.004592,303123
2020-10-07,0.004592,0.005095,0.004556,0.004967,0.004967,1023302
2020-10-08,0.004993,0.005389,0.004766,0.005123,0.005123,2542790
2020-10-09,0.005123,0.005463,0.004942,0.005307,0.005307,1876317
2020-10-10,0.005333,0.005534,0.005080,0.005133,0.005133,2105118
2020-10-11,0.005133,0.005176,0.004908,0.005036,0.005036,330576
2020-10-12,0.005036,0.005329,0.004926,0.005311,0.005311,662025
2020-10-13,0.005268,0.005308,0.005033,0.005135,0.005135,371822
2020-10-14,0.005135,0.005177,0.005038,0.005082,0.005082,189091
2020-10-15,0.005083,0.005160,0.004917,0.004977,0.004977,260601
2020-10-16,0.005021,0.005162,0.004855,0.004947,0.004947,516522
2020-10-17,0.004947,0.005188,0.004905,0.005170,0.005170,157379
2020-10-18,0.005162,0.005260,0.005079,0.005154,0.005154,174003
2020-10-19,0.005154,0.005212,0.005045,0.005095,0.005095,119339
2020-10-20,0.005095,0.005133,0.004999,0.005090,0.005090,119724
2020-10-21,0.005099,0.005514,0.005082,0.005375,0.005375,1797502
2020-10-22,0.005384,0.005468,0.005295,0.005347,0.005347,400974
2020-10-23,0.005339,0.005417,0.005117,0.005264,0.005264,2915
2020-10-24,0.005264,0.005574,0.005264,0.005458,0.005458,1080463
2020-10-25,0.005458,0.005520,0.005318,0.005415,0.005415,251046
2020-10-26,0.005415,0.005467,0.005252,0.005315,0.005315,282809
2020-10-27,0.005315,0.005536,0.005247,0.005510,0.005510,818112
2020-10-28,0.005510,0.006179,0.005323,0.005407,0.005407,26836
2020-10-29,0.005406,0.006072,0.005047,0.005139,0.005139,7717821
